DATUM;OPEN;HIGH;LOW;KOERS
1992-09-25;;;;96.59000
1992-09-28;;;;93.99000
1992-09-29;;;;92.24000
1992-09-30;;;;91.64000
1992-10-01;;;;91.21000
1992-10-02;;;;91.67000
1992-10-05;;;;89.25000
1992-10-06;;;;90.68000
1992-10-07;;;;90.67000
1992-10-08;;;;92.56000
1992-10-09;;;;93.04000
1992-10-12;;;;94.55000
1992-10-13;;;;93.86000
1992-10-14;;;;93.16000
1992-10-15;;;;92.68000
1992-10-16;;;;94.10000
1992-10-19;;;;93.87000
1992-10-20;;;;95.57000
1992-10-21;;;;94.61000
1992-10-22;;;;95.67000
1992-10-23;;;;97.02000
1992-10-26;;;;97.18000
1992-10-27;;;;96.72000
1992-10-28;;;;96.94000
1992-10-29;;;;96.98000
1992-10-30;;;;96.71000
1992-11-02;;;;98.58000
1992-11-03;;;;98.32000
1992-11-04;;;;98.90000
1992-11-05;;;;99.14000
1992-11-06;;;;98.89000
1992-11-09;;;;98.77000
1992-11-10;;;;99.51000
1992-11-11;;;;99.72000
1992-11-12;;;;98.94000
1992-11-13;;;;98.07000
1992-11-16;;;;98.31000
1992-11-17;;;;98.21000
1992-11-18;;;;99.77000
1992-11-19;;;;99.37000
1992-11-20;;;;100.11000
1992-11-23;;;;100.56000
1992-11-24;;;;101.50000
1992-11-25;;;;101.05000
1992-11-26;;;;100.87000
1992-11-27;;;;102.57000
1992-11-30;;;;102.45000
1992-12-01;;;;101.13000
1992-12-02;;;;100.72000
1992-12-03;;;;100.97000
1992-12-04;;;;101.53000
1992-12-07;;;;101.03000
1992-12-08;;;;100.93000
1992-12-09;;;;101.17000
1992-12-10;;;;101.45000
1992-12-11;;;;101.59000
1992-12-14;;;;100.95000
1992-12-15;;;;100.92000
1992-12-16;;;;99.86000
1992-12-17;;;;101.54000
1992-12-18;;;;103.04000
1992-12-21;;;;103.68000
1992-12-22;;;;104.53000
1992-12-23;;;;104.66000
1992-12-24;;;;105.00000
1992-12-25;;;;104.87000
1992-12-28;;;;104.23000
1992-12-29;;;;105.45000
1992-12-30;;;;104.90000
1992-12-31;;;;104.80000
1993-01-01;;;;104.80000
1993-01-04;;;;105.34000
1993-01-05;;;;105.07000
1993-01-06;;;;105.30000
1993-01-07;;;;104.80000
1993-01-08;;;;104.28000
1993-01-11;;;;103.18000
1993-01-12;;;;103.52000
1993-01-13;;;;103.29000
1993-01-14;;;;103.48000
1993-01-15;;;;104.32000
1993-01-18;;;;103.50000
1993-01-19;;;;103.16000
1993-01-20;;;;102.81000
1993-01-21;;;;103.65000
1993-01-22;;;;102.52000
1993-01-25;;;;101.94000
1993-01-26;;;;102.60000
1993-01-27;;;;102.74000
1993-01-28;;;;103.53000
1993-01-29;;;;104.87000
1993-02-01;;;;106.62000
1993-02-02;;;;106.95000
1993-02-03;;;;108.37000
1993-02-04;;;;109.13000
1993-02-05;;;;109.51000
1993-02-08;;;;109.51000
1993-02-09;;;;109.05000
1993-02-10;;;;109.60000
1993-02-11;;;;109.83000
1993-02-12;;;;109.11000
1993-02-15;;;;110.14000
1993-02-16;;;;107.36000
1993-02-17;;;;107.16000
1993-02-18;;;;107.68000
1993-02-19;;;;108.53000
1993-02-22;;;;108.55000
1993-02-23;;;;108.06000
1993-02-24;;;;108.45000
1993-02-25;;;;109.36000
1993-02-26;;;;110.26000
1993-03-01;;;;110.58000
1993-03-02;;;;110.58000
1993-03-03;;;;111.51000
1993-03-04;;;;110.76000
1993-03-05;;;;111.98000
1993-03-08;;;;114.24000
1993-03-09;;;;114.57000
1993-03-10;;;;114.88000
1993-03-11;;;;114.58000
1993-03-12;;;;114.24000
1993-03-15;;;;114.12000
1993-03-16;;;;114.30000
1993-03-17;;;;114.17000
1993-03-18;;;;115.25000
1993-03-19;;;;114.75000
1993-03-22;;;;114.52000
1993-03-23;;;;113.64000
1993-03-24;;;;113.52000
1993-03-25;;;;114.59000
1993-03-26;;;;114.57000
1993-03-29;;;;115.12000
1993-03-30;;;;114.80000
1993-03-31;;;;114.61000
1993-04-01;;;;114.42000
1993-04-02;;;;115.21000
1993-04-05;;;;115.49000
1993-04-06;;;;115.48000
1993-04-07;;;;116.82000
1993-04-08;;;;116.57000
1993-04-09;;;;116.09000
1993-04-12;;;;116.18000
1993-04-13;;;;116.97000
1993-04-14;;;;117.12000
1993-04-15;;;;117.76000
1993-04-16;;;;118.05000
1993-04-19;;;;116.94000
1993-04-20;;;;116.65000
1993-04-21;;;;116.33000
1993-04-22;;;;115.85000
1993-04-23;;;;114.93000
1993-04-26;;;;113.61000
1993-04-27;;;;115.35000
1993-04-28;;;;115.23000
1993-04-29;;;;115.57000
1993-04-30;;;;116.74000
1993-05-03;;;;116.92000
1993-05-04;;;;117.11000
1993-05-05;;;;117.19000
1993-05-06;;;;116.52000
1993-05-07;;;;116.90000
1993-05-10;;;;118.44000
1993-05-11;;;;118.75000
1993-05-12;;;;118.25000
1993-05-13;;;;118.32000
1993-05-14;;;;117.78000
1993-05-17;;;;118.25000
1993-05-18;;;;118.31000
1993-05-19;;;;119.52000
1993-05-20;;;;119.32000
1993-05-21;;;;119.83000
1993-05-24;;;;120.74000
1993-05-25;;;;121.28000
1993-05-26;;;;122.52000
1993-05-27;;;;122.08000
1993-05-28;;;;121.07000
1993-05-31;;;;120.73000
1993-06-01;;;;120.75000
1993-06-02;;;;121.55000
1993-06-03;;;;122.23000
1993-06-04;;;;123.03000
1993-06-07;;;;122.50000
1993-06-08;;;;122.30000
1993-06-09;;;;123.33000
1993-06-10;;;;123.18000
1993-06-11;;;;123.44000
1993-06-14;;;;123.93000
1993-06-15;;;;123.52000
1993-06-16;;;;123.67000
1993-06-17;;;;123.31000
1993-06-18;;;;123.16000
1993-06-21;;;;122.23000
1993-06-22;;;;123.50000
1993-06-23;;;;123.53000
1993-06-24;;;;125.47000
1993-06-25;;;;126.59000
1993-06-28;;;;127.24000
1993-06-29;;;;126.03000
1993-06-30;;;;126.98000
1993-07-01;;;;126.49000
1993-07-02;;;;125.36000
1993-07-05;;;;125.33000
1993-07-06;;;;125.58000
1993-07-07;;;;126.04000
1993-07-08;;;;126.85000
1993-07-09;;;;128.02000
1993-07-12;;;;128.94000
1993-07-13;;;;129.42000
1993-07-14;;;;129.82000
1993-07-15;;;;130.61000
1993-07-16;;;;129.96000
1993-07-19;;;;128.73000
1993-07-20;;;;128.29000
1993-07-21;;;;127.96000
1993-07-22;;;;129.32000
1993-07-23;;;;129.58000
1993-07-26;;;;130.47000
